organisationunitid,organisationunituid,name,level,uidlevel1,level1name,uidlevel2,level2name,uidlevel3,level3name,uidlevel4,level4name,uidlevel5,level5name,uidlevel6,level6name,uidlevel7,level7name,code
2168669,GIpNnMFZyLL,Bigasa Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,GIpNnMFZyLL,Bigasa Health Centre III,p.ug.DHIS2.HW6fE9RYBjI
45154051,u62MrMCzkK3,Bigasa Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,u62MrMCzkK3,Bigasa Prison Clinic,
45154002,BIbmf1kBrRx,Bigasa Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,BIbmf1kBrRx,Bigasa Prison Clinic,
41337760,S6LtzBXCteS,Busagula Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,S6LtzBXCteS,Busagula Health Centre II,
2170041,lk5YrjPY0Ap,Kingangazzi Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,lk5YrjPY0Ap,Kingangazzi Health Centre II,p.ug.DHIS2.dRVlZtrIfcM
2150324,ByyCE9uitbw,Bigasa Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,ByyCE9uitbw,Bigasa Subcounty,,,p.ug.4.Bigasa Subcounty
2164980,QuA0AUj7kf4,Buke Medical Centre Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,PTtOldslolS,Bukomansimbi Town Council,QuA0AUj7kf4,Buke Medical Centre Health Centre III,p.ug.DHIS2.R9ujLreag0E
2168718,XkZDzIaHRG7,Bukomansimbi Medical Center Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,PTtOldslolS,Bukomansimbi Town Council,XkZDzIaHRG7,Bukomansimbi Medical Center Health Centre III,p.ug.DHIS2.obXcd9wL3Pf
2170055,V5fDNA4kXkI,Kitaasa Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,PTtOldslolS,Bukomansimbi Town Council,V5fDNA4kXkI,Kitaasa Health Centre III,p.ug.DHIS2.agQsp6hFdZa
2166392,fpAzB7SPLNy,St. Mary'S Maternity Home Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,PTtOldslolS,Bukomansimbi Town Council,fpAzB7SPLNy,St. Mary'S Maternity Home Health Centre III,p.ug.DHIS2.VCIAE5Bta3H
2161286,PTtOldslolS,Bukomansimbi Town Council,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,PTtOldslolS,Bukomansimbi Town Council,,,p.ug.4.Bukomansimbi Town Council
2165111,PTMmY6oz61Q,Butenga Health Centre IV,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,PTMmY6oz61Q,Butenga Health Centre IV,p.ug.DHIS2.gBVBGJ2p9b3
2170076,J872BOqJNIX,Butenga Medical Center Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,J872BOqJNIX,Butenga Medical Center Health Centre III,p.ug.DHIS2.wHboGxWIhq0
45154052,p59X35OtPrf,Butenga Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,p59X35OtPrf,Butenga Prison Clinic,
45154003,WyxfuysFWIO,Butenga Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,WyxfuysFWIO,Butenga Prison Clinic,
